#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Anabaena variabilis ATCC 29413	ATCC 29413	19226	SAMN02598253 	PRJNA10642	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000204075.1 	7.10575	41.3911	chromosome:CP000117.1; chromosome Incision-element:CP000118.1; plasmid A:CP000119.1; plasmid B:CP000120.1; plasmid C:CP000121.1	-	5	5808	5706	2005/09/15	2014/01/28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000204075.1_ASM20407v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000204075.1_ASM20407v1
'Nostoc azollae' 0708	0708	19222	SAMN02598476 	PRJNA30807	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000196515.1 	5.48614	38.3265	chromosome:NC_014248.1/CP002059.1; plasmid pAzo01:NC_014249.1/CP002060.1; plasmid pAzo02:NC_014250.1/CP002061.1	-	3	5198	3985	2010/06/14	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000196515.1_ASM19651v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000196515.1_ASM19651v1
Oscillatoriales cyanobacterium JSC-12	JSC-12	21557	SAMN02261267 	PRJNA66005	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000309945.1 	5.53049	47.5	chromosome:NZ_CM001633.1/CM001633.1	AJUB01	1	4857	4668	2012/11/05	2015/08/15	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000309945.1_ASM30994v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000309945.1_ASM30994v1
Chroococcidiopsis thermalis PCC 7203	PCC 7203	21563	SAMN02261359 	PRJNA38119	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317125.1 	6.6894	44.4387	chromosome:NC_019695.1/CP003597.1; plasmid pCHRO.01:NC_019699.1/CP003598.1; plasmid pCHRO.02:NC_019696.1/CP003599.1	-	3	5852	5618	2012/12/05	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317125.1_ASM31712v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317125.1_ASM31712v1
Cyanobacterium stanieri PCC 7202	PCC 7202	21533	SAMN02232010 	PRJNA39697	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317655.1 	3.16338	38.7	chromosome:CP003940.1	-	1	2941	2837	2012/12/07	2013/07/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317655.1_ASM31765v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317655.1_ASM31765v1
Anabaena cylindrica PCC 7122	PCC 7122	21572	SAMN02232008 	PRJNA43355	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317695.1 	7.06328	38.7952	chromosome:NC_019771.1/CP003659.1; plasmid pANACY.01:NC_019772.1/CP003660.1; plasmid pANACY.02:NC_020157.1/CP003661.1; plasmid pANACY.03:NC_019773.1/CP003662.1; plasmid pANACY.04:NC_019774.1/CP003663.1; plasmid pANACY.05:NC_020056.1/CP003664.1; plasmid pANACY.06:NC_019775.1/CP003665.1	-	7	6062	5775	2012/12/07	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317695.1_ASM31769v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317695.1_ASM31769v1
Planktothrix agardhii NIVA-CYA 126/8	NIVA-CYA 126/8	23345	SAMN02867752 	PRJNA163669	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000710505.1 	5.04587	39.5525	chromosome:NZ_CM002803.1/CM002803.1; plasmid pPA115:NZ_CM002804.1/CM002804.1; plasmid pPA14:NZ_CM002805.1/CM002805.1; plasmid pPA5.5:NZ_CM002806.1/CM002806.1; plasmid pPA50:NZ_CM002807.1/CM002807.1; plasmid pPA79:NZ_CM002808.1/CM002808.1	ASAK01	6	4416	4142	2014/06/20	2015/08/18	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000710505.1_Plagard2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000710505.1_Plagard2.0
Geminocystis herdmanii PCC 6308	PCC 6308	21535	SAMN02256519 	PRJNA62511	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000332235.1 	4.26342	34.3	chromosome:NZ_CM001775.1/CM001775.1	ALVO01	1	4030	3887	2013/01/17	2015/08/18	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000332235.1_ASM33223v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000332235.1_ASM33223v1
Cyanobium gracile PCC 6307	PCC 6307	21530	SAMN02261330 	PRJNA158695	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316515.1 	3.34236	68.7	chromosome:NC_019675.1/CP003495.1	-	1	3236	3094	2012/12/04	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316515.1_ASM31651v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316515.1_ASM31651v1
Dactylococcopsis salina PCC 8305	PCC 8305	21531	SAMN02261331 	PRJNA158703	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317615.1 	3.78101	42.4	chromosome:NC_019780.1/CP003944.1	-	1	3615	3412	2012/12/07	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317615.1_ASM31761v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317615.1_ASM31761v1
Oscillatoria acuminata PCC 6304	PCC 6304	21556	SAMN02261334 	PRJNA158709	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317105.1 	7.80427	47.611	chromosome:NC_019693.1/CP003607.1; plasmid pOSCIL6304.01:NC_019700.1/CP003608.1; plasmid pOSCIL6304.02:NC_019694.1/CP003609.1	-	3	6011	5812	2012/12/05	2016/05/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317105.1_ASM31710v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317105.1_ASM31710v1
Cylindrospermum stagnale PCC 7417	PCC 7417	21567	SAMN02261342 	PRJNA158809	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317535.1 	7.61059	42.1988	chromosome:NC_019757.1/CP003642.1; plasmid pCYLST.01:NC_020050.1/CP003643.1; plasmid pCYLST.02:NC_019744.1/CP003644.1; plasmid pCYLST.03:NC_019758.1/CP003645.1	-	4	6381	6127	2012/12/06	2016/05/13	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317535.1_ASM31753v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317535.1_ASM31753v1
Crinalium epipsammum PCC 9333	PCC 9333	21560	SAMN02261349 	PRJNA158835	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317495.1 	5.62041	40.1979	chromosome:NC_019753.1/CP003620.1; plasmid pCRI9333.01:NC_019733.1/CP003621.1; plasmid pCRI9333.02:NC_019734.1/CP003622.1; plasmid pCRI9333.03:NC_019754.1/CP003623.1; plasmid pCRI9333.04:NC_019735.1/CP003624.1; plasmid pCRI9333.05:NC_019736.1/CP003625.1; plasmid pCRI9333.06:NC_019755.1/CP003626.1; plasmid pCRI9333.07:NC_019737.1/CP003627.1; plasmid pCRI9333.08:NC_019756.1/CP003628.1	-	9	4901	4706	2012/12/06	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317495.1_ASM31749v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317495.1_ASM31749v1
Stanieria cyanosphaera PCC 7437	PCC 7437	21543	SAMN02261352 	PRJNA158877	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317575.1 	5.54499	36.2677	chromosome:NC_019748.1/CP003653.1; plasmid pSTA7437.01:NC_019765.1/CP003654.1; plasmid pSTA7437.02:NC_019749.1/CP003655.1; plasmid pSTA7437.03:NC_019750.1/CP003656.1; plasmid pSTA7437.04:NC_020052.1/CP003657.1; plasmid pSTA7437.05:NC_019766.1/CP003658.1	-	6	4895	4742	2012/12/06	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317575.1_ASM31757v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317575.1_ASM31757v1
Synechococcus sp. CC9902	CC9902	19198	SAMN02598312 	PRJNA13655	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000012505.1 	2.23483	54.2	chromosome:NC_007513.1/CP000097.1	-	1	2349	2289	2005/10/26	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012505.1_ASM1250v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012505.1_ASM1250v1
Nostoc sp. PCC 7120		19226	SAMD00061094 	PRJNA244	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000009705.1 	7.21179	41.2243	chromosome:NC_003272.1/BA000019.2; plasmid pCC7120alpha:NC_003276.1/BA000020.2; plasmid pCC7120beta:NC_003240.1/AP003602.1; plasmid pCC7120delta:NC_003273.1/AP003604.1; plasmid pCC7120epsilon:NC_003270.1/AP003605.1; plasmid pCC7120gamma:NC_003267.1/AP003603.1; plasmid pCC7120zeta:NC_003241.1/AP003606.1	-	7	6051	5823	2001/11/28	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009705.1_ASM970v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009705.1_ASM970v1
Synechocystis sp. PCC 6803	PCC 6803	19208	SAMD00061113 	PRJNA60	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000009725.1 	3.94702	47.3493	chromosome:NC_000911.1/BA000022.2; plasmid pSYSA:NC_005230.1/AP004311.1; plasmid pSYSG:NC_005231.1/AP004312.1; plasmid pSYSM:NC_005229.1/AP004310.1; plasmid pSYSX:NC_005232.1/AP006585.1	-	5	3673	3602	2001/07/27	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009725.1_ASM972v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009725.1_ASM972v1
Calothrix sp. 336/3	336/3	32583	SAMN02909965 	PRJNA255071	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000734895.2 	6.42013	41.056	chromosome:NZ_CP011382.1/CP011382.1; plasmid unnamed1:NZ_CP011383.1/CP011383.1; plasmid unnamed2:NZ_CP011384.1/CP011384.1; plasmid unnamed3:NZ_CP011385.1/CP011385.1	-	4	5364	5175	2015/05/06	2015/08/20	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000734895.2_ASM73489v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000734895.2_ASM73489v2
Pseudanabaena sp. PCC 7367	PCC 7367	21545	SAMN02261336 	PRJNA158713	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317065.1 	4.88568	46.2126	chromosome:NC_019701.1/CP003592.1; plasmid pPSE7367.01:NC_019690.1/CP003593.1	-	2	3937	3790	2012/12/05	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317065.1_ASM31706v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317065.1_ASM31706v1
Geitlerinema sp. PCC 7407	PCC 7407	21559	SAMN02261348 	PRJNA158833	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317045.1 	4.68111	58.5	chromosome:NC_019703.1/CP003591.1	-	1	3835	3727	2012/12/05	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317045.1_ASM31704v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317045.1_ASM31704v1
Anabaena sp. 90	90	35043	SAMN02604187 	PRJNA30803	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000312705.1 	5.30567	38.0907	chromosome chANA01:NC_019427.1/CP003284.1; chromosome chANA02:NC_019439.1/CP003285.1; plasmid pANA01:NC_019428.1/CP003286.1; plasmid pANA02:NC_019429.1/CP003287.1; plasmid pANA03:NC_019440.1/CP003288.1	-	5	4667	4444	2012/11/13	2015/08/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000312705.1_ASM31270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000312705.1_ASM31270v1
Pleurocapsa sp. PCC 7327	PCC 7327	21536	SAMN02261346 	PRJNA158829	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317025.1 	4.98682	45.2	chromosome:NC_019689.1/CP003590.1	-	1	4498	4252	2012/12/05	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317025.1_ASM31702v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317025.1_ASM31702v1
Gloeocapsa sp. PCC 7428	PCC 7428	21564	SAMN02261347 	PRJNA158831	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317555.1 	5.88271	43.3899	chromosome:NC_019745.1/CP003646.1; plasmid pGLO7428.01:NC_019746.1/CP003647.1; plasmid pGLO7428.02:NC_020051.1/CP003648.1; plasmid pGLO7428.03:NC_019759.1/CP003649.1; plasmid pGLO7428.04:NC_019747.1/CP003650.1	-	5	5141	4941	2012/12/06	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317555.1_ASM31755v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317555.1_ASM31755v1
Microcoleus sp. PCC 7113	PCC 7113	21538	SAMN02261351 	PRJNA158839	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317515.1 	7.96651	46.2006	chromosome:NC_019738.1/CP003630.1; plasmid pMIC7113.01:NC_019739.1/CP003631.1; plasmid pMIC7113.02:NC_019760.1/CP003632.1; plasmid pMIC7113.03:NC_019740.1/CP003633.1; plasmid pMIC7113.04:NC_019761.1/CP003634.1; plasmid pMIC7113.05:NC_019741.1/CP003635.1; plasmid pMIC7113.06:NC_019742.1/CP003636.1; plasmid pMIC7113.07:NC_019762.1/CP003637.1; plasmid pMIC7113.08:NC_019743.1/CP003638.1	-	9	6551	6337	2012/12/06	2016/05/13	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317515.1_ASM31751v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317515.1_ASM31751v1
Cyanothece sp. ATCC 51142	ATCC 51142	19213	SAMN02604312 	PRJNA20319	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000017845.1 	5.46038	37.967	chromosome circular:NC_010546.1/CP000806.1; chromosome linear:NC_010547.1/CP000807.1; plasmid A:NC_010539.1/CP000808.1; plasmid B:NC_010541.1/CP000809.1; plasmid C:NC_010542.1/CP000810.1; plasmid D:NC_010543.1/CP000811.1	-	6	4990	4898	2008/04/01	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000017845.1_ASM1784v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017845.1_ASM1784v1
Prochlorococcus sp. MIT 0801	MIT 0801	35023	SAMN02769563 	PRJNA246696	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000757865.1 	1.9292	34.9	chromosome:NZ_CP007754.1/CP007754.1	-	1	2045	1977	2014/09/25	2015/08/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000757865.1_ASM75786v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000757865.1_ASM75786v1
Arthrospira sp. PCC 8005	PCC 8005	19229	SAMEA3283116 	PRJNA40633	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000973065.1 	6.22815	44.7	chromosome:NZ_FO818640.1/FO818640.1	-	1	5531	5171	2014/02/14	2015/08/20	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000973065.1_ASM97306v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000973065.1_ASM97306v1
Halothece sp. PCC 7418	PCC 7418	21532	SAMN02232029 	PRJNA40817	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317635.1 	4.17917	42.9	chromosome:NC_019779.1/CP003945.1	-	1	3822	3663	2012/12/07	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317635.1_ASM31763v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317635.1_ASM31763v1
Rivularia sp. PCC 7116	PCC 7116	21566	SAMN02232049 	PRJNA63147	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316665.1 	8.72877	37.4958	chromosome:NC_019678.1/CP003549.1; plasmid pRIV7116.01:NC_019679.1/CP003550.1; plasmid pRIV7116.02:NC_019686.1/CP003551.1	-	3	6676	6481	2012/12/04	2016/05/12	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316665.1_ASM31666v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316665.1_ASM31666v1
Chamaesiphon minutus PCC 6605	PCC 6605	21555	SAMN02261345 	PRJNA158825	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317145.1 	6.76176	45.6454	chromosome:NC_019697.1/CP003600.1; plasmid pCHA6605.01:NC_020053.1/CP003601.1; plasmid pCHA6605.02:NC_019698.1/CP003602.1	-	3	6212	5956	2012/12/05	2015/08/14	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317145.1_ASM31714v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317145.1_ASM31714v1
Oscillatoria nigro-viridis PCC 7112	PCC 7112	19220	SAMN02261335 	PRJNA158711	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317475.1 	8.27225	45.8127	chromosome:NC_019729.1/CP003614.1; plasmid pOSC7112.01:NC_019763.1/CP003615.1; plasmid pOSC7112.02:NC_019730.1/CP003616.1; plasmid pOSC7112.03:NC_019731.1/CP003617.1; plasmid pOSC7112.04:NC_019764.1/CP003618.1; plasmid pOSC7112.05:NC_019732.1/CP003619.1	-	6	6820	6419	2012/12/06	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317475.1_ASM31747v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317475.1_ASM31747v1
Cyanobacterium aponinum PCC 10605	PCC 10605	21534	SAMN02261329 	PRJNA158691	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317675.1 	4.17697	34.9729	chromosome:NC_019776.1/CP003947.1; plasmid pCYAN10605.01:NC_019777.1/CP003948.1	-	2	3529	3416	2012/12/07	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317675.1_ASM31767v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317675.1_ASM31767v1
Thermosynechococcus sp. NK55a	NK55	19231	SAMN02641554 	PRJNA218025	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000505665.1 	2.52006	53.8	chromosome:NC_023033.1/CP006735.1	-	1	2441	2302	2013/12/11	2015/08/15	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000505665.1_ASM50566v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000505665.1_ASM50566v1
Candidatus Atelocyanobacterium thalassa isolate ALOHA		19210	SAMN02641594 	PRJNA30917	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000025125.1 	1.44381	31.1	chromosome:NC_013771.1/CP001842.1	-	1	1204	1132	2010/01/28	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000025125.1_ASM2512v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025125.1_ASM2512v1
Gloeobacter kilaueensis JS1	JS1	23344	SAMN02604186 	PRJNA162637	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000484535.1 	4.72479	60.5	chromosome:NC_022600.1/CP003587.1	-	1	4378	4256	2013/10/28	2015/08/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000484535.1_ASM48453v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000484535.1_ASM48453v1
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko		35927	SAMD00061037 	PRJDB498	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000829235.1 	2.79432	33.4	chromosome:NZ_AP012549.1/AP012549.1	-	1	1736	1594	2014/07/23	2016/10/07	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000829235.1_ASM82923v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000829235.1_ASM82923v1
Microcystis panniformis FACHB-1757	FACHB-1757	19214	SAMN03392520 	PRJNA277430	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001264245.1 	5.68684	42.4	chromosome:NZ_CP011339.1/CP011339.1	-	1	5323	4616	2015/08/11	2016/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001264245.1_ASM126424v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001264245.1_ASM126424v1
